TRACE: 0.9143214574343509
REF: VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.3104432919128775]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=2.0, volat=1.207310365604017]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=2.0, volat=1.215025188684648]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.2999999999999994, volat=1.2166036288478583]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.6999999999999997, volat=1.2180735421562185]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=2.0, volat=1.2183735313419535]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.3999999999999995, volat=1.2187912338744402]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.2999999999999994, volat=1.2234153445649194]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.1999999999999993, volat=1.2294262048153726]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.4999999999999996, volat=1.2318947350545701]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.3999999999999995, volat=1.2343242227080997]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.9, volat=1.2349990364222474]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.6999999999999997, volat=1.2413556498556606]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0999999999999992, volat=1.2445647104369069]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.5999999999999996, volat=1.2473685057059556]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.9, volat=1.254734778372943]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.5999999999999996, volat=1.256105253347806]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.4999999999999996, volat=1.2565398857130399]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.1999999999999993, volat=1.2570500091225743]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.7999999999999998, volat=1.2583778432949784]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.7999999999999998, volat=1.2598209738800723]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=2.0, volat=1.2631390778977802]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.3999999999999995, volat=1.2664625872389936]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.0999999999999992, volat=1.2687986549442412]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=2.0, volat=1.2705219792312452]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.4999999999999996, volat=1.2721404322080578]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.6999999999999997, volat=1.274281866739987]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=0.9999999999999992, volat=1.278113688753183]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.9999999999999992, volat=1.27987643087727]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.2999999999999994, volat=1.281133525793195]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=2.0, volat=1.2867402224207471]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.6999999999999997, volat=1.288126205819063]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=2.0, volat=1.2922708838688959]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.9, volat=1.292784846532092]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.1999999999999993, volat=1.2955494174897442]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.2999999999999994, volat=1.2970018898881581]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=1.9, volat=1.2988198444866215]
